id;name;description;registration_date
1;Harbor Montana;Corporate Phased relationships;2019-11-13
2;User-centric;Money Market Account;2019-11-13
3;JSON;virtual deposit;2019-11-13
4;digital maroon;EXE projection Fresh;2019-11-14
5;Direct;Profit-focused;2019-11-14
6;copying;ability Hat Iraq;2019-11-14
7;Bahamian Dollar;24/7;2019-11-13
8;conglomeration;Oklahoma facilitate;2019-11-14
9;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;2019-11-13
10;Berkshire Small Plastic Pants Investor;Canadian Dollar;2019-11-14
